#  wavelength    Flux         Std.Dev.
#  [Angstroem]   [F(5500)]    [N/A]

  6012.487   21928.3414    0.1
  6012.505   21885.6205    0.1
  6012.522   21715.4884    0.1
  6012.540   21540.1737    0.1
  6012.557   21247.4045    0.1
  6012.574   20870.9567    0.1
  6012.592   20436.9271    0.1
  6012.609   19975.6023    0.1
  6012.627   19600.5935    0.1
  6012.644   19429.4461    0.1
  6012.661   19465.9878    0.1
  6012.679   19597.4387    0.1
  6012.696   19892.7121    0.1
  6012.714   20290.9884    0.1
  6012.731   20699.9400    0.1
  6012.749   21053.4127    0.1
  6012.766   21286.8611    0.1
  6012.783   21487.4187    0.1
  6012.801   21644.6910    0.1
  6012.818   21902.7086    0.1
  6012.836   21875.6331    0.1
  6012.853   21796.5602    0.1
  6012.870   22131.3606    0.1
  6012.888   22112.9399    0.1
  6012.905   22037.6746    0.1
  6012.923   21844.6007    0.1
  6012.940   21874.1064    0.1
  6012.957   22007.3019    0.1
  6012.975   21852.2586    0.1
  6012.992   21765.8184    0.1
  6013.010   21731.7926    0.1
  6013.027   21805.0676    0.1
  6013.045   21781.7312    0.1
  6013.062   21776.9483    0.1
  6013.079   21609.9146    0.1
  6013.097   21525.7213    0.1
  6013.114   21613.6990    0.1
  6013.132   21547.3157    0.1
  6013.149   21476.0128    0.1
  6013.166   21317.5908    0.1
  6013.184   20947.5563    0.1
  6013.201   20414.3926    0.1
  6013.219   19654.0664    0.1
  6013.236   18880.0993    0.1
  6013.253   17428.7553    0.1
  6013.271   16129.0394    0.1
  6013.288   14503.9646    0.1
  6013.306   12533.7781    0.1
  6013.323   10964.7416    0.1
  6013.341   9462.2072    0.1
  6013.358   8381.1173    0.1
  6013.375   7731.4801    0.1
  6013.393   7478.9930    0.1
  6013.410   7723.9858    0.1
  6013.428   8399.3236    0.1
  6013.445   9560.6099    0.1
  6013.462   10846.1636    0.1
  6013.480   12764.9908    0.1
  6013.497   14614.5235    0.1
  6013.515   16145.7005    0.1
  6013.532   17658.8605    0.1
  6013.549   18799.0782    0.1
  6013.567   19868.6834    0.1
  6013.584   20515.7155    0.1
  6013.602   20906.0033    0.1
  6013.619   21507.5550    0.1
  6013.637   21700.2736    0.1
  6013.654   21832.8783    0.1
  6013.671   21892.0735    0.1
  6013.689   21791.6600    0.1
  6013.706   21775.4543    0.1
  6013.724   21765.7424    0.1
  6013.741   21780.5282    0.1
  6013.758   21568.7553    0.1
  6013.776   21726.2885    0.1
  6013.793   21513.9840    0.1
  6013.811   21487.9447    0.1
  6013.828   21671.7095    0.1
  6013.845   21677.8085    0.1
  6013.863   21605.0801    0.1
  6013.880   21821.9976    0.1
  6013.898   21938.0933    0.1
  6013.915   21964.9197    0.1
  6013.932   21976.7197    0.1
  6013.950   21993.4102    0.1
  6013.967   21987.3516    0.1
  6013.985   21891.1683    0.1
  6014.002   21853.4468    0.1
  6014.020   21817.3179    0.1
  6014.037   21952.6855    0.1
  6014.054   22023.6997    0.1
  6014.072   21820.7550    0.1
  6014.089   21904.8285    0.1
  6014.107   22037.1682    0.1
  6014.124   21891.0723    0.1
  6014.141   21892.7363    0.1
  6014.159   21889.9957    0.1
  6014.176   21858.2194    0.1
  6014.194   21790.1111    0.1
  6014.211   21832.2794    0.1
  6014.228   21777.4240    0.1
  6014.246   21671.4119    0.1
  6014.263   21552.6261    0.1
  6014.281   21489.4055    0.1
  6014.298   21470.1611    0.1
  6014.316   21629.8467    0.1
  6014.333   21616.3805    0.1
  6014.350   21538.4172    0.1
  6014.368   21480.2071    0.1
  6014.385   21448.7667    0.1
  6014.403   21530.4429    0.1
  6014.420   21541.5584    0.1
  6014.437   21616.4238    0.1
  6014.455   21727.4067    0.1
  6014.472   21728.3405    0.1
  6014.490   21541.7296    0.1
  6014.507   21730.3735    0.1
  6014.524   21691.7575    0.1
  6014.542   21737.7072    0.1
  6014.559   21768.5362    0.1
  6014.577   21670.6543    0.1
  6014.594   21589.0959    0.1
  6014.612   21498.8189    0.1
  6014.629   21450.0321    0.1
  6014.646   21325.0358    0.1
  6014.664   21283.9074    0.1
  6014.681   21341.3069    0.1
  6014.699   21416.2036    0.1
  6014.716   21466.1004    0.1
  6014.733   21560.2937    0.1
  6014.751   21688.5543    0.1
  6014.768   21650.4232    0.1
  6014.786   21717.1012    0.1
  6014.803   22023.3411    0.1
  6014.820   22079.5111    0.1
  6014.838   22071.0201    0.1
  6014.855   22076.4629    0.1
  6014.873   22003.3181    0.1
  6014.890   22018.6329    0.1
  6014.907   21999.9437    0.1
  6014.925   21958.6433    0.1
  6014.942   21908.1111    0.1
  6014.960   21781.2343    0.1
  6014.977   21713.3746    0.1
  6014.995   21575.4539    0.1
  6015.012   21363.4586    0.1
  6015.029   21171.0734    0.1
  6015.047   20800.2555    0.1
