Selección de líneas de hierro para Arcturus-PEPSI;;;;;;;;
Rango:;3940-9130;;;;;;;
"Copiadas de Nave (solo calidad A; en total hay 1312)";;;;;;;;
;;;;;;;;
;;;;;;;;
;Aparentemente buenas (481);;;;;posibles mezclas (338);;
;;;;;;;;
;l vac;l aire;c;;;l vac;l aire;c
;;;;;;;;
;63.943.059;63.925.388;2.279;;;81.143.941;81.121.635;2.692
;63.953.687;63.936.013;2.433;;;81.489.172;81.466.773;3.274
;64.097.896;64.080.184;3.686;;;81.812.427;8.178.994;4.312
;64.134.216;64.116.493;3.654;;;82.180.634;82.158.048;5.742
;64.217.241;64.199.496;4.733;;;82.340.085;82.317.456;4.913
;64.326.238;64.308.464;2.176;;;82.345.808;82.323.178;4.415
;64.381.862;64.364.072;4.186;;;82.719.219;82.696.488;4.593
;64.664.507;64.646.642;0.958;;;82.781.669;82.758.921;4.955
;64.774.139;64.756.244;2.559;;;83.342.056;83.319.157;4.386
;64.836.614;64.818.703;2.279;;;83.416.959;83.394.039;4.434
;64.967.751;64.949.805;2.404;;;83.451.501;83.428.571;4.988
;64.982.616;64.964.666;4.795;;;83.744.147;83.721.139;5.792
;6.500.735;64.989.392;0.958;;;84.037.088;8401.4;2.484
;65.059.807;65.041.835;4.733;;;84.264.555;84.241.406;4.955
;65.114.154;65.096.168;4.076;;;84.487.053;84.463.844;4.988
;65.201.681;65.183.671;2.831;;;84.740.721;84.717.444;4.955
;65.357.346;65.339.294;4.558;;;87.127.838;87.103.915;4.913
;65.480.479;65.462.395;2.758;;;87.868.528;87.844.405;4.955
;65.585.993;6.556.788;4.795;;;87.957.586;87.933.438;4.607
;65.710.301;65.692.155;4.733;;;88.070.437;88.046.258;2.279
;65.931.334;65.913.129;4.593;;;88.105.898;8.808.171;5.009
;65.947.348;65.929.138;2.727;;;88.408.559;8.838.429;2.858
;65.956.917;65.938.705;2.433;;;89.573.975;8.954.939;2.559
;65.993.833;65.975.611;4.795;;;89.778.647;89.754.007;2.99
;66.064.131;6.604.589;4.835;;;90.268.464;90.243.691;4.913
;66.293.751;66.275.448;4.548;;;91.061.362;91.036.375;4.178
;66.352.444;66.334.125;4.835;;;91.147.433;91.122.422;4.991
;66.355.816;66.337.497;4.558;;;91.196.351;91.171.327;2.858
;66.359.392;66.341.071;4.795;;;;;
;66.487.673;66.469.318;2.608;;;;;
;66.556.901;66.538.527;4.154;;;;;
;66.798.308;6.677.987;2.692;;;;;
;67.009.914;66.991.418;4.593;;;;;
;67.054.182;67.035.674;2.758;;;;;
;67.063.319;67.044.809;4.217;;;;;
;67.069.535;67.051.024;4.607;;;;;
;67.121.721;67.103.195;1.485;;;;;
;67.155.983;67.137.448;4.795;;;;;
;67.172.372;67.153.832;4.607;;;;;
;67.272.138;67.253.572;4.103;;;;;
;67.285.238;67.266.668;4.607;;;;;
;67.321.503;67.302.924;4.913;;;;;
;67.339.233;67.320.649;4.584;;;;;
;6735.01;67.331.513;4.638;;;;;
;67.413.823;67.395.219;1.557;;;;;
;67.469.632;67.451.013;4.58;;;;;
;67.478.186;67.459.565;4.076;;;;;
;67.488.173;67.469.549;2.608;;;;;
;67.520.157;67.501.525;2.424;;;;;
;67.887.335;67.868.604;4.191;;;;;
;67.951.341;67.932.592;4.076;;;;;
;68.087.234;68.068.449;2.727;;;;;
;68.121.422;68.102.628;4.607;;;;;
;68.222.541;68.203.719;4.638;;;;;
;68.304.756;68.285.912;4.638;;;;;
;68.388.928;68.370.061;4.593;;;;;
;68.417.179;68.398.305;2.559;;;;;
;6.844.574;68.426.858;4.638;;;;;
;68.455.444;6.843.656;4.548;;;;;
;68.570.537;68.551.621;4.558;;;;;
;68.591.424;68.572.503;4.076;;;;;
;68.600.421;68.581.498;4.607;;;;;
;69.185.896;69.166.815;4.154;;;;;
;6.947.121;69.452.052;2.424;;;;;
;69.807.765;69.788.516;2.484;;;;;
;70.018.146;69.998.841;4.103;;;;;
;70.248.907;70.229.539;4.191;;;;;
;70.401.643;70.382.234;4.217;;;;;
;70.923.384;70.903.835;4.23;;;;;
;71.328.879;71.309.221;4.217;;;;;
;71.349.526;71.329.863;4.076;;;;;
;71.831.753;71.811.959;4.22;;;;;
;73.914.342;73.893.988;4.301;;;;;
;74.037.236;74.016.849;4.186;;;;;
;74.131.957;74.111.544;4.283;;;;;
;74.207.108;74.186.674;4.143;;;;;
;74.429.616;74.409.122;4.913;;;;;
;74.450.723;74.430.224;4.186;;;;;
;74.478.015;74.457.508;4.256;;;;;
;74.494.449;74.473.938;4.955;;;;;
;74.635.755;74.615.206;2.559;;;;;
;74.937.117;74.916.486;4.301;;;;;
;75.130.887;75.110.205;4.178;;;;;
;75.332.189;75.311.451;4.371;;;;;
;75.439.894;75.419.128;5.099;;;;;
;7.549.975;75.478.968;5.099;;;;;
;75.709.838;75.688.999;4.283;;;;;
;75.858.761;75.837.882;3.018;;;;;
;75.881.072;75.860.187;4.312;;;;;
;77.124.865;77.103.645;4.22;;;;;
;7.721.173;77.190.486;5.033;;;;;
;77.253.335;7.723.208;2.279;;;;;
;77.358.516;77.337.232;5.064;;;;;
;77.397.955;77.376.661;4.415;;;;;
;77.448.356;77.427.047;4.991;;;;;
;77.476.455;7.745.514;5.085;;;;;
