λ_teo (Å),λ_obs (Å),Flujo,Profundidad,Velocidad (m/s),Curvatura,Bisectriz,Coef 0,Coef 1,Coef 2,Coef 3,Coef 4
4454.381,4454.382448146704,0.13810446556125927,0.8618955344387407,97.46437489874779,3262286174.495453,123.16552414298654,0.1381253022824047,0.08278200088035362,82.2085627051711,-24.735464199225866,-271.0519125565943
4455.0273,4455.012709479425,0.207017935110661,0.792982064889339,-981.8409028689298,3314037102.8985667,-710.9716122687765,0.20745132483636985,0.37963014825248304,83.48904165811682,147.28870798165119,-3365.693244848488
4456.3257,4456.332583260169,0.24767961770406582,0.7523203822959341,463.0607419232474,3932309624.891695,1326.8414464352709,0.2500566006849148,-0.9597261349745474,99.0062291101356,-386.6615224788851,-8246.767786418852
4458.0802,4458.0789214169035,0.29173681793582457,0.7082631820641754,-85.98085995499768,5126911676.80268,709.9633661965498,0.29294207309330106,0.7914409193631029,128.98236476163655,-351.2801869359943,-13409.832942701196
4461.6528,4461.662020308429,0.029251867799444862,0.9707481322005551,619.5414684936356,387635417.68994904,-33459.118597270965,0.02938163782417436,0.06989764202848289,9.736438350767349,94.41058620491755,2078.8824289322765
4466.5518,4466.574224770871,0.03362354031462637,0.9663764596853737,1505.1380753129108,703154561.8957555,-8635.965963067789,0.033625660020326624,-0.012233454640764807,17.622669328590277,79.91681266886837,3144.294487236139
4469.3756,4469.374752969003,0.15464356914398023,0.8453564308560197,-56.81632682357245,3464716877.0540023,211.7067750545204,0.15609154913077508,0.7092396333779802,86.7249809559511,-47.47656034358497,-4204.805716799729
4480.1366,4480.135678509595,0.2226248900644368,0.7773751099355632,-61.662377323243575,4545418471.863782,396.7748459888197,0.2236918890707737,0.696256635096062,113.23000948921172,-152.04343701301104,-11979.500509408002
4481.6093,4481.604288728852,0.31219890186218124,0.6878010981378188,-335.22362047904994,5609783822.891232,99.58045008251403,0.31237519654281315,0.3138697395611364,139.65262902050043,-58.065091730636105,-13310.94180416398
4484.2198,4484.219477961441,0.17525242088948037,0.8247475791105197,-21.529883774962556,4548204368.202991,-35.60537138404469,0.17540922270919992,-0.2663444636370823,113.0931377715571,13.623358368207843,-4055.8146552722824
4485.6756,4485.674786142594,0.24390232659067607,0.7560976734093239,-54.392767978686926,5280128713.567523,48.45107714273519,0.24398469998864422,0.20793462709728064,131.20758627372172,-24.9607945371158,-8537.667276435623
